#        1228        1851
 # Maximo:        20230
           1         256
           2         221
           3         174
           4         128
           5          67
           6          40
           7          44
           8          13
           9           6
          10          11
          11           5
          12           5
          13           5
          14           4
          15           4
          16           4
          17           4
          18           3
          19           2
          20           2
          21           3
          22           2
          23           4
          24           1
          26           2
          27           1
          29           1
          32           1
          33           1
          34           1
          35           1
          36           1
          38           2
          39           1
          40           2
          41           1
          42           1
          44           1
          45           2
          49           1
          51           1
          52           2
          53           1
          56           2
          58           1
          59           2
          60           3
          61           2
          62           1
          64           1
          65           1
          66           1
          67           1
          68           1
          70           1
          74           1
          78           2
          79           1
          80           1
          81           1
          82           1
          85           1
          87           1
          89           1
          92           1
          94           1
          95           2
         101           1
         114           1
         115           1
         116           1
         117           1
         124           1
         126           1
         128           1
         131           1
         132           1
         134           1
         135           1
         136           1
         139           1
         149           1
         153           2
         160           1
         162           2
         165           1
         174           1
         177           1
         178           2
         184           1
         185           1
         186           1
         190           1
         197           1
         201           1
         207           1
         219           1
         221           1
         222           1
         224           1
         227           1
         228           1
         229           1
         239           1
         240           1
         242           1
         245           2
         247           1
         260           1
         261           1
         267           1
         271           1
         272           1
         284           1
         314           1
         319           1
         322           2
         330           1
         333           1
         334           1
         335           1
         338           1
         345           1
         348           1
         350           1
         354           1
         360           2
         364           1
         369           1
         370           3
         382           1
         390           1
         391           1
         398           1
         401           2
         406           1
         417           1
         426           1
         433           1
         453           1
         459           1
         461           2
         462           1
         465           1
         467           1
         470           1
         477           2
         479           1
         483           1
         484           1
         491           1
         500           1
         504           1
         516           1
         522           1
         527           1
         539           1
         554           1
         556           1
         560           1
         566           2
         568           1
         570           1
         590           1
         591           1
         602           1
         604           1
         620           1
         631           1
         654           1
         665           1
         677           1
         697           1
         720           1
         740           1
         822           1
         824           1
         884           1
         889           1
         909           1
         912           1
         915           1
         924           1
         937           1
         944           1
         948           1
         954           1
         962           1
         979           1
         981           1
         988           1
         992           1
        1043           2
        1104           1
        1185           1
        1236           1
        1243           1
        1390           1
        1395           1
        1439           1
        1478           1
        1535           1
        1659           1
        1697           1
        1964           1
        2117           1
        2398           1
        2661           1
        3307           1
        3462           1
        4219           1
        4281           1
        5787           1
       12442           1
       20230           1
