#         246         470
 # Maximo:        20153
           1          64
           2          33
           3          28
           4          22
           5          15
           6           4
           7           2
           8           5
          10           5
          12           1
          13           3
          14           2
          15           2
          16           2
          17           1
          18           1
          19           1
          20           4
          21           1
          22           2
          27           2
          32           1
          39           1
          43           1
          46           1
          47           1
          54           1
          61           1
          63           1
          66           1
          85           2
          86           1
         107           1
         129           1
         133           1
         137           1
         141           1
         146           1
         161           1
         198           1
         228           1
         241           1
         244           1
         303           1
         326           1
         327           1
         336           1
         376           1
         404           1
         451           1
         521           1
         525           1
         542           1
         661           1
         884           1
         895           1
         983           1
        1090           1
        1228           1
        1364           1
        1591           1
        2219           1
       19116           1
       20153           1
