"Blancos", 0, 7315, 2.12
"Nulos", 0, 5885, 1.71
"PP", 20, 156199, 46.12
"PRC", 12, 98731, 29.15
"PSOE", 7, 55220, 16.31
"IU-IA", 0, 11224, 3.31
"UPyD", 0, 5813, 1.72
"F.N.", 0, 1254, 0.37
"PCPE", 0, 1097, 0.32
"A.M.D.", 0, 915, 0.27
"SAIn", 0, 514, 0.15
"CDL", 0, 378, 0.11
