'P.S.O.E.  ' 395   24.309   29,89%  
'P.P. ' 388  28.109  34,56% 
'PAR ' 310  16.057  19,74% 
'COMPROMISO CON ARAGON ' 51  2.628  3,23% 
'CHA ' 25  3.896  4,79% 
'I.U. ' 20  5.239  6,44% 
'F.I.A. ' 4  170  0,21% 
'ERC / ESQUERRA ' 1  66  0,08% 
'UPyD '    354  0,44% 
'ECOLO '    26  0,03% 
'D.N. '    11  0,01% 
'L.V.E. '    3  0% 
'  '         
'  '         
'  '         
'  '         
